@relation dataset_preprocessed-weka.filters.unsupervised.attribute.NumericToNominal-R2_clustered

@attribute Instance_number numeric
@attribute CdS {CdS1,CdS2,CdS3}
@attribute Coorte {2010,2011,2012,2013,2014,2015,2016}
@attribute Genere {M,F}
@attribute Voto_test numeric
@attribute Crediti_convoto numeric
@attribute Crediti_totali numeric
@attribute Voto_medio numeric
@attribute Scuola_provenienza {LC,LS,TC,IT,Altro,IP}
@attribute Esame_Matematica {EsameMatematica,'Non superato'}
@attribute Voto_Matematica numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
104,CdS3,2010,F,0.292362,-0.040195,-0.055924,0.341705,LS,EsameMatematica,0.288857,cluster0
105,CdS3,2010,M,1.421629,-0.040195,-0.208806,0.459528,LS,EsameMatematica,0.93139,cluster0
106,CdS3,2010,F,0.969922,1.411528,1.320008,0.577351,LS,EsameMatematica,1.02318,cluster1
107,CdS3,2010,M,0.066509,-0.846707,-0.361687,-0.365231,LS,EsameMatematica,-0.078305,cluster2
108,CdS3,2010,M,-0.385198,-1.65322,-1.584738,-2.603863,Altro,'Non superato',-1.822323,cluster3
109,CdS3,2010,M,1.647482,1.411528,1.320008,0.812996,LS,EsameMatematica,0.93139,cluster1
110,CdS3,2010,F,0.518216,0.443713,0.40272,0.10606,LS,EsameMatematica,0.380647,cluster0
111,CdS3,2010,M,0.518216,1.411528,1.320008,0.812996,LS,EsameMatematica,0.93139,cluster1
112,CdS3,2010,M,1.647482,1.411528,1.320008,0.930819,LS,EsameMatematica,1.02318,cluster1
113,CdS3,2010,F,1.195776,0.443713,0.40272,0.341705,LS,EsameMatematica,0.747809,cluster0
114,CdS3,2010,M,-0.385198,-0.846707,-0.66745,-0.483054,IT,EsameMatematica,-0.170095,cluster2
115,CdS3,2010,M,1.195776,1.411528,1.320008,0.930819,LS,EsameMatematica,0.93139,cluster1
116,CdS3,2010,F,-0.836904,-1.65322,-1.584738,-2.603863,LC,'Non superato',-1.822323,cluster3
117,CdS3,2010,M,-1.062758,-0.846707,-0.820331,-0.011763,LS,EsameMatematica,0.197066,cluster2
118,CdS3,2010,F,1.421629,0.121108,0.096957,0.341705,LS,EsameMatematica,0.747809,cluster0
119,CdS3,2010,M,1.647482,1.411528,1.320008,0.812996,LS,EsameMatematica,0.93139,cluster1
120,CdS3,2010,M,-0.159344,-0.524102,0.096957,0.10606,LS,EsameMatematica,0.288857,cluster2
121,CdS3,2010,M,-0.159344,-0.524102,0.096957,0.10606,LS,EsameMatematica,0.288857,cluster2
122,CdS3,2010,M,-0.159344,-1.169312,-1.278975,-0.483054,TC,'Non superato',-1.822323,cluster3
123,CdS3,2010,F,1.421629,0.92762,0.861364,-0.011763,LS,EsameMatematica,0.472438,cluster1
124,CdS3,2010,F,-0.385198,0.443713,0.40272,0.341705,LS,EsameMatematica,0.564228,cluster0
125,CdS3,2010,F,0.292362,0.92762,0.861364,0.459528,LS,EsameMatematica,1.02318,cluster1
