CdS,Coorte,Genere,Voto_test,Crediti_convoto,Crediti_totali,Voto_medio,Scuola_provenienza,Esame_Matematica,Voto_Matematica,Crediti_Matematica
CdS1,2012,M,20.00,57,60,23,LS,EsameMatematica,24,12
CdS1,2012,F,20.00,57,60,27,LS,EsameMatematica,27,12
CdS1,2012,M,21.00,57,60,28,LS,EsameMatematica,26,12
CdS1,2012,M,13.00,6,12,28,LS,,,
CdS1,2012,M,17.00,24,24,22,LS,EsameMatematica,22,12
CdS1,2012,F,17.00,39,42,27,LC,EsameMatematica,25,12
CdS1,2012,M,14.00,27,27,24,LS,EsameMatematica,27,12
CdS1,2012,F,15.00,57,60,25,XX,EsameMatematica,24,12
CdS1,2012,M,21.00,57,57,26,LC,EsameMatematica,31,12
CdS1,2012,F,12.00,0,3,0,IT,,,
CdS1,2012,M,20.00,57,60,26,LS,EsameMatematica,28,12
CdS1,2012,M,19.00,57,60,28,LS,EsameMatematica,30,12
CdS1,2012,M,22.00,57,60,29,LS,EsameMatematica,27,12
CdS1,2012,M,24.00,57,60,29,LS,EsameMatematica,27,12
CdS1,2012,F,23.00,57,60,26,LS,EsameMatematica,29,12
CdS1,2012,M,21.00,39,42,22,LS,EsameMatematica,20,12
CdS1,2012,M,20.00,51,54,26,LS,EsameMatematica,27,12
CdS1,2012,M,25.00,12,12,26,IT,EsameMatematica,26,12
CdS1,2012,M,14.00,39,42,24,IT,EsameMatematica,25,12
CdS1,2012,F,21.00,45,48,25,LS,EsameMatematica,26,12
CdS1,2012,F,18.00,21,24,24,LS,EsameMatematica,28,12
CdS1,2012,M,22.00,69,123,28,LS,EsameMatematica,25,12
CdS1,2012,M,22.00,69,123,28,LS,EsameMatematica,25,1
CdS1,2012,M,21.00,33,33,26,LS,EsameMatematica,26,12
CdS1,2012,M,25.00,6,9,29,LC,,,
CdS1,2012,M,18.00,30,57,23,LS,EsameMatematica,20,12
CdS1,2013,M,23.00,39,39,23,LS,EsameMatematica,22,12
CdS1,2013,M,15.00,24,39,20,IT,EsameMatematica,20,12
CdS1,2013,M,15.00,24,39,20,IT,EsameMatematica,0,9
CdS1,2013,F,14.00,24,30,20,XX,,,
CdS1,2013,M,24.00,21,21,22,LS,EsameMatematica,24,12
CdS1,2013,M,23.00,57,57,29,LS,EsameMatematica,25,12
CdS1,2013,M,13.00,33,33,21,IT,EsameMatematica,26,12
CdS1,2013,F,22.00,57,57,25,LS,EsameMatematica,20,12
CdS1,2013,M,23.00,57,60,24,LS,EsameMatematica,22,12
CdS1,2013,F,17.00,0,3,0,LS,,,
CdS1,2013,M,25.00,57,60,28,LS,EsameMatematica,26,12
CdS1,2013,M,19.00,39,39,28,LS,EsameMatematica,26,12
CdS1,2013,F,22.00,57,60,24,LS,EsameMatematica,21,12
CdS1,2013,F,18.00,39,42,23,LS,EsameMatematica,27,12
CdS1,2013,M,14.00,6,9,25,IT,,,
CdS1,2013,M,24.00,57,60,30,LS,EsameMatematica,31,12
CdS1,2013,M,14.00,6,9,25,IT,,,
CdS1,2013,M,17.00,39,42,26,LC,EsameMatematica,31,12
CdS1,2013,M,25.00,57,57,27,LS,EsameMatematica,25,12
CdS1,2013,F,18.00,57,60,25,LC,EsameMatematica,23,12
CdS1,2013,F,14.00,45,48,22,LS,EsameMatematica,18,12
CdS1,2013,F,11.00,0,3,0,LC,,,
CdS1,2013,F,21.00,57,60,28,LS,EsameMatematica,28,12
CdS1,2013,M,25.00,57,60,28,LC,EsameMatematica,27,12
CdS1,2013,F,15.00,18,18,19,LS,EsameMatematica,18,12
CdS1,2013,M,20.00,39,42,22,IT,EsameMatematica,18,12
CdS1,2013,M,23.00,57,57,27,LS,EsameMatematica,31,12
CdS1,2013,M,24.00,27,27,27,LS,EsameMatematica,28,12
CdS1,2013,F,16.00,57,60,24,LS,EsameMatematica,19,12
CdS1,2013,M,20.00,57,60,27,LS,EsameMatematica,25,12
CdS1,2013,F,16.00,33,33,24,LS,EsameMatematica,27,12
CdS1,2013,M,24.00,57,60,27,LS,EsameMatematica,31,12
CdS1,2013,F,18.00,57,57,26,LS,EsameMatematica,25,12
CdS1,2013,M,15.00,24,27,24,LS,EsameMatematica,21,12
CdS1,2013,M,17.00,39,39,25,LS,EsameMatematica,28,12
CdS1,2013,M,19.00,51,54,27,LC,EsameMatematica,27,12
CdS1,2013,M,13.00,6,12,24,LS,,,
