@relation dataset_preprocessed-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute CdS {CdS1,CdS2,CdS3}
@attribute Coorte {2010,2011,2012,2013,2014,2015,2016}
@attribute Genere {M,F}
@attribute Voto_test numeric
@attribute Crediti_convoto numeric
@attribute Crediti_totali numeric
@attribute Voto_medio numeric
@attribute Scuola_provenienza {LC,LS,TC,IT,Altro,IP}
@attribute Esame_Matematica {EsameMatematica,'Non superato'}
@attribute Voto_Matematica numeric

@data
CdS3,2011,F,1,30,33,26,LS,EsameMatematica,25
CdS3,2011,F,0.84,48,54,23,LS,EsameMatematica,26
CdS3,2011,M,0.88,15,15,29,LS,EsameMatematica,29
CdS3,2011,F,0.84,30,33,23,LS,EsameMatematica,24
CdS3,2011,F,0.96,9,12,30,LS,EsameMatematica,25
CdS3,2011,F,0.8,39,42,28,Altro,EsameMatematica,30
CdS3,2011,F,0.44,24,27,22,LC,EsameMatematica,24
CdS3,2011,F,0.68,30,33,20,LS,EsameMatematica,19
CdS3,2011,F,0.88,30,30,22,LS,EsameMatematica,20
CdS3,2011,F,0.64,30,33,21,LS,EsameMatematica,19
CdS3,2011,M,0.64,0,3,0,IT,'Non superato',0
CdS3,2011,M,0.68,0,3,0,LS,EsameMatematica,25
CdS3,2011,M,0.6,15,15,20,LS,EsameMatematica,24
CdS3,2011,F,0.6,30,33,21,Altro,EsameMatematica,20
CdS3,2011,F,0.4,24,27,23,TC,EsameMatematica,23
CdS3,2011,M,1,48,51,28,LS,EsameMatematica,31
CdS3,2011,M,0.72,30,33,22,LS,EsameMatematica,20
CdS3,2011,F,0.84,39,42,23,LS,EsameMatematica,22
CdS3,2011,M,0.76,30,33,24,LS,EsameMatematica,23
CdS3,2011,F,0.64,0,3,0,LS,'Non superato',0
CdS3,2011,F,0.76,39,42,26,Altro,EsameMatematica,26
CdS3,2011,F,0.76,30,33,24,LS,EsameMatematica,21
CdS3,2011,M,0.96,48,51,24,LS,EsameMatematica,23
CdS3,2011,M,0.68,48,51,29,LS,EsameMatematica,28
CdS3,2011,M,0.88,15,15,19,LS,EsameMatematica,19
CdS3,2011,M,0.56,15,18,25,LS,EsameMatematica,23
CdS3,2011,M,0.92,42,48,24,LS,EsameMatematica,26
CdS3,2011,M,0.92,42,48,24,LS,EsameMatematica,26
CdS1,2012,F,0.210526,0,3,0,Altro,'Non superato',0
CdS1,2012,M,0.947368,39,42,26,LS,EsameMatematica,28
CdS1,2012,M,0.947368,57,60,26,LS,EsameMatematica,28
CdS1,2012,F,0.684211,57,60,26,LS,EsameMatematica,26
CdS1,2012,M,0.894737,57,60,27,LS,EsameMatematica,28
